title,genre,year,netflix
미스터 피바디와 셔먼 쇼,드라마,2017,천재 강아지 피바디와 셔먼의 휘황찬란한 펜트하우스에 손님이 오셨네요. 시간을 뛰어넘어 온 위인들과 함께하는 신기한 코미디 쇼가 펼쳐집니다.
흑역사 안내서,드라마,2018,"자기 입으로 사춘기의 굴욕을 까발린다? 무대에서 당시의 일기를 읽는 사람들. 부끄러움은 잠시 접어 두고 모두 그때 그 시절로! 누구나 겪는 날것의 시기, 당신은 어땠나요?"
미스트,드라마 NETFLIX ORIGINAL,2017,수상: 6 wins & 11 nominations.
더 미라클,드라마,2016,성격도 외모도 정반대인 이란성 쌍둥이 자매. 달라도 너무 다른 삶을 살아가던 어느 날 둘의 영혼이 뒤바뀌고 만다.
쉐프의 마인드,드라마,2016,수상: 11 wins & 10 nominations.
부패의 메커니즘,드라마 NETFLIX ORIGINAL,2018,"한 나라를 뒤흔든 비리와 부정. 아무도 알지 못했다. 한 형사의 집념이 깃털을 건드리기까지. 브라질의 실제 사건을 바탕으로 부패의 메커니즘, 그 몸통을 겨냥한 드라마."
매버릭스: 스포츠의 이단아들,드라마,2016,"규칙은 가라! 축구, 모터스포츠, 권투, 다트 등 다양한 종목에서 전설이 된 스포츠 이단아들. 이들의 이야기를 현장감 넘치는 인터뷰와 자료 화면으로 만나 보는 다큐멘터리."
신기한 스쿨 버스 2,드라마 NETFLIX ORIGINAL,2018,수상: 1 win & 3 nominations.
신기한 스쿨버스,드라마,1994,수상: 3 wins & 11 nominations.
어린 왕자,드라마,2012,수상: 6 wins & 14 nominations.
렛다운,드라마 NETFLIX ORIGINAL,2017,수상: 3 wins & 4 nominations.
라스트 킹덤,드라마 NETFLIX ORIGINAL,2018,수상: 1 nomination.
품위있는 그녀,드라마,2017,"욕망의 끝은 어디일까. 이미 상류 사회에 속한 사람, 그곳에 입성하기 위해 발버둥 치는 사람. 그 가운데 두 여인의 삶이 있다. 욕망이란 독배를 마신 군상들의 이야기."
코민스키 메소드,드라마 NETFLIX ORIGINAL,2018,수상: Won 2 Golden Globes. Another 1 win & 22 nominations.
천사들의 증언,드라마 NETFLIX ORIGINAL,2017,수상: Nominated for 1 Primetime Emmy. Another 1 win & 7 nominations.
전하를 조심해,드라마 NETFLIX ORIGINAL,2018,"나답게, 행복하게 살고 싶다! 진정한 삶을 찾으려는 부유한 상속녀. 집을 나가 평범한 학생처럼 살아가는 그녀 앞에 차가운 톱스타가 나타난다. 이거, 악연일까 인연일까?"
조엘 맥헤일의 할리우드 통신,드라마 NETFLIX ORIGINAL,2018,"날마다 쏟아지는 볼거리, 도대체 뭐부터 챙겨야 하지? 그래서 왔다, 제대로 골라주는 남자 조엘 맥헤일! 그가 연예계와 대중문화, 소셜미디어의 알짜만 뽑아 소개한다."
미제사건 파일: 영국편,드라마 NETFLIX ORIGINAL,2018,"1985년 남편과 딸을 두고 홀연히 사라진 아내 캐럴. 남편 러셀은 시신도 발견되지 않은 상태에서 살해 혐의로 종신형을 선고받고, 30년 뒤 딸이 진실을 찾아 나선다."
이노센트: 순수의 여정,드라마 NETFLIX ORIGINAL,2018,수상: Nominated for 2 BAFTA Film Awards. Another 3 wins & 3 nominations.
이노센트 맨,드라마 NETFLIX ORIGINAL,2018,수상: 1 nomination.
인디언 디텍티브,드라마 NETFLIX ORIGINAL,2017,수상: 1 win & 1 nomination.
인비트위너스,드라마,2010,수상: 13 wins & 13 nominations.
아이돌 마스터 신데렐라 걸즈,드라마,2015,한 기획사의 신데렐라 프로젝트에 발탁된 소녀들. 그러나 인기 아이돌로 가는 길은 예상치 못한 난관으로 가득하다.
아이돌 마스터,드라마,2013,저마다 스타를 꿈꾸며 765 프로덕션에 모인 소녀들. 톱 아이돌이 되기 위해 한 발 한 발 나아간다.
IT 크라우드,드라마,2013,컴맹 관리자의 도움을 받아 지하에 거주하는 샌님 두 명이 멍청한 새 주인에 의해 운영되는 기업 IT 부서에서의 삶을 즐긴다.
헌트,드라마,2015,수상: Nominated for 1 Oscar. Another 37 wins & 67 nominations.
꽃들의 집,드라마 NETFLIX ORIGINAL,2018,수상: 3 wins & 6 nominations.
파리에선 사랑을,드라마 NETFLIX ORIGINAL,2018,전 남자 친구를 잊지 못해 미저리가 될 지경인 엘자. 보다 못한 친구들이 사랑을 파는 남자를 고용한다. 완벽하게 속이면 꽤 괜찮은 계획이잖아? 사랑에 빠지지만 않으면.
오버 더 허니문: 코미디 클리닉,드라마 NETFLIX ORIGINAL,2018,"커플 상담을 원하십니까? 맡겨만 주세요. 코미디언 부부가 준비한 스탠드업 스페셜. 하지만 가끔 헛소리를 할지도 몰라요. 몇 달 뒤면 아기가 태어나는데, 제정신일 리가!"
더 할로우,드라마 NETFLIX ORIGINAL,2018,수상: 6 nominations.
힐 하우스의 유령,드라마 NETFLIX ORIGINAL,2018,수상: 9 wins & 32 nominations.
신비아파트: 고스트볼의 비밀,드라마,2017,"귀신이 나온다는 신비아파트. 이곳엔 귀신을 하늘로 올려 보내주는 친구들이 있었으니. 바로 도깨비 신비와 하리 두리 남매. 무시무시한 악귀든 억울하게 세상을 떠난 귀신이든, 이들이 함께라면 문제없지! 귀신아 물러서라, 우리가 나가신다!"
굿 와이프,드라마,2016,수상: Won 1 Golden Globe. Another 30 wins & 212 nominations.
굿 플레이스,드라마 NETFLIX ORIGINAL,2018,"살아생전 자기밖에 모르던 그녀. 착하게 살아야 천당 간다더니 그 반대가 돼버렸다! 사후 세계의 ‘굿 플레이스’에 남기 위한, 악녀의 개과천선 프로젝트 하나 둘 셋!"
굿 캅,드라마 NETFLIX ORIGINAL,2018,"지독한 원칙주의자인 형사 토니 주니어. 자신과 정반대인 전과자 아버지 때문에 골치가 아프다. 심지어 사건마다 간섭하는 전직 경찰 아버지. 그런데, 가끔 도움도 되잖아?"
더 겟다운,드라마 NETFLIX ORIGINAL,2017,수상: 5 wins & 8 nominations.
눈의 살인,드라마 NETFLIX ORIGINAL,2017,수상: 1 win.
프랑켄슈타인 연대기,드라마 NETFLIX ORIGINAL,2017,수상: 2 wins.
깊은 숲에서,드라마 NETFLIX ORIGINAL,2017,수상: 1 win & 1 nomination.
플래시,드라마,2018,수상: Nominated for 1 Primetime Emmy. Another 26 wins & 76 nominations.
